id,link,title,sender,recipient,year,description,place,date,sentLocation,receivedLocation,senderLat,senderLng,receiverLat,receiverLng
pera0123,http://129.7.224.3/omeka-2.6.1/items/show/1701,"Envelope addressed to Mr. Alonso S. Perales, postmarked 30 May 1924",[Unknown],"Perales, Alonso S.",1924,"Envelope addressed to Mr. Alonso S. Perales from an unknown sender at the Supreme Court of Texas in Austin, Texas, postmarked 30 May 1924. Handwritten note says ""Not at above address."" ",,5/30/24,"Austin, TX","San Antonio, TX",30.276273,-97.7412794,29.42662879,-98.4923065
pera0124,http://129.7.224.3/omeka-2.6.1/items/show/1702,"Envelope addressed to Mr. Alonso S. Perales, postmarked 9 April 1925",[Unknown],"Perales, Alonso S.",1925,"Envelope addressed to Mr. Alonso S. Perales from an unknown sender at the Supreme Court of Texas in Austin, Texas, postmarked 9 April 1925.",,4/9/25,"Austin, TX","San Antonio, TX",30.276273,-97.7412794,29.42662879,-98.4923065
pera0126,http://129.7.224.3/omeka-2.6.1/items/show/1704,"Envelope addressed to Mr. Alonso S. Perales, postmarked 17 June 1925",[Unknown],"Perales, Alonso S.",1925,"Envelope addressed to Mr. Alonso S. Perales, from the law office of Goggans and Allison in Breckenridge, Texas, postmarked 17 June 1925. ",,6/17/25,"Breckenridge, TX","San Antonio, TX",32.755677,-98.90229,29.42662879,-98.4923065
pera0127,http://129.7.224.3/omeka-2.6.1/items/show/1705,"Envelope addressed to Mr. Alonso S. Perales c/o [care of] Latin-American Division, postmarked 6 July 1925",[Unknown],"Perales, Alonso S.",1925,"Envelope addressed to Mr. Alonso S. Perales, c/o [care of] the Washington DC Latin-American Division, from an unknown sender at the Supreme Court of Texas in Austin, Texas, postmarked 6 July 1925.  ",,7/6/25,"Austin, TX","Washington, DC",30.276273,-97.7412794,38.8946375,-77.0484716
pera0128,http://129.7.224.3/omeka-2.6.1/items/show/1706,"Envelope addressed to Mr. and Mrs. Alonso S. Perales, postmarked 14 December 1931",[Unknown],"Perales, Alonso S.",1931,"Envelope addressed to Alonso S. Perales and Marta Perez de Perales from an unknown sender in Balboa Heights, Panama, postmarked 14 December 1931.  ",,12/14/31,"Balboa Heights, Panama","San Antonio, TX",8.965322,-79.5441549,29.446,-98.48961
pera0130,http://129.7.224.3/omeka-2.6.1/items/show/1708,"Envelope addressed to Mr. and Mrs. Alonso S. Perales, postmarked 23 December 1931",[Unknown],"Perales, Alonso S.",1931,"Envelope addressed to Alonso S. Perales and Marta Perez de Perales, from an unknown sender in Brownsville, Texas, postmarked 23 December 1931.  ",,12/23/31,"Brownsville, TX","San Antonio, TX",25.901747,-97.497482,29.42430583,-98.49188447
pera0131,http://129.7.224.3/omeka-2.6.1/items/show/1709,"Envelope addressed to Sr. Lic. [Senior Licenciado/Mr. Esq.] Alonso S. Perales, postmarked 20 March 1934",[Unknown],"Perales, Alonso S.",1934,"Envelope addressed to Sr. Lic. [Senior Licenciado/Mr. Esq.] Alonso S. Perales from an unknown sender at San Felipe High School in Del Rio, Texas, postmarked 20 March 1934.  ",,3/20/34,"Del Rio, TX","San Antonio, TX",29.358182,-100.881388,29.42662879,-98.4923065
pera0133,http://129.7.224.3/omeka-2.6.1/items/show/1711,"Envelope addressed to Senor Lic. [Licenciado/Esq.] [Alonso S]. Perales, postmarked 22 September 1934",[Unknown],"Perales, Alonso S.",1934,"Envelope addressed to Senor Lic. [Licenciado/Esq.] Alonso S. Perales from an unknown sender at St. Mary's Church in Charlotte, Texas, postmarked 22 September 1934.  ",,9/22/34,"Charlotte, TX","San Antonio, TX",28.861109,-98.706154,29.42662879,-98.4923065
pera0136,http://129.7.224.3/omeka-2.6.1/items/show/1714,"Envelope addressed to Mr. Alonso S. Perales, Atty [Attorney] Law /Davis Wright & Perales postmarked 13 October 1936",[Unknown],"Perales, Alonso S.",1936,"Envelope addressed to Alonso S. Perales Mr. Alonso S. Perales, Atty [Attorney] Law /Davis Wright & Perales from an unknown sender at the L.U.L.A.C. Ladies Council, chapter number 15 in Laredo, Texas, postmarked 13 October 1936.  ",,10/13/36,"Laredo, TX","San Antonio, TX",27.5071208,-99.5069945,29.42662879,-98.4923065
pera0137,http://129.7.224.3/omeka-2.6.1/items/show/1715,"Envelope addressed to Alonzo [Alonso] S. Perales, postmarked 16 October 1936",[Unknown],"Perales, Alonso S.",1936,"Envelope addressed to Alonzo [Alonso] S. Perales from an unknown sender at the Diocese of El Paso, postmarked 16 October 1936. Envelope engraved with an image of Corpus Christi de la Isleta Mission for the Texas Centennial Celebration and Ysleta Celebration. Marked in red for special delivery.  ",,10/16/36,"El Paso, TX","San Antonio, TX",31.7212839,-106.3387846,29.42662879,-98.4923065
